Designator,Mid X,Mid Y,Rotation,Layer
C1,96.31,-91.057594,270.0,top
C10,106.100001,-68.2,0.0,top
C11,106.100001,-70.25,0.0,top
C12,106.125001,-66.400001,0.0,top
C13,106.100001,-72.300001,0.0,top
C14,108.65,-74.18,90.0,top
C15,101.08,-78.175,180.0,top
C16,100.37,-83.45,0.0,top
C17,93.65,-80.0,270.0,top
C18,91.55,-80.0,270.0,top
C19,80.2,-76.3,180.0,top
C2,101.435,-85.627594,0.0,top
C20,83.33,-79.05,180.0,top
C21,67.772703,-92.258634,315.0,top
C22,69.0,-93.45,315.0,top
C23,71.65,-90.1,135.0,top
C24,76.829999,-96.3,180.0,top
C25,79.829999,-79.150001,180.0,top
C26,78.370001,-79.149999,0.0,top
C27,86.944999,-88.000001,0.0,top
C28,69.42,-86.9,0.0,top
C29,78.15,-77.85,180.0,top
C3,103.26,-88.257594,90.0,top
C30,76.619998,-97.299999,180.0,top
C31,79.05,-96.625,270.0,top
C32,75.499999,-95.819999,270.0,top
C33,74.956048,-79.106048,315.0,top
C34,70.956048,-82.356048,135.0,top
C35,76.350002,-75.03,90.0,top
C36,73.850003,-75.055,90.0,top
C37,77.7525,-66.4225,270.0,top
C4,102.06,-87.197594,270.0,top
C5,96.31,-89.157594,90.0,top
C6,98.385,-85.627594,180.0,top
C7,105.73,-78.649999,0.0,top
C8,105.73,-77.65,0.0,top
C9,105.709999,-79.649999,0.0,top
CARD1,87.75,-67.5025,180.0,top
D1,98.36,-93.062594,270.0,top
J1,107.55,-86.05,90.0,top
J2,100.9,-59.85,270.0,top
J3,100.889999,-63.5,270.0,top
L1,94.41,-88.607594,90.0,top
L2,70.0,-85.650001,180.0,top
L3,96.95,-80.05,0.0,top
L4,101.675001,-75.150001,270.0,top
R1,87.8,-90.9675,0.0,top
R10,100.49,-95.927594,0.0,top
R11,101.99,-95.927594,0.0,top
R12,107.75,-76.705,270.0,top
R13,108.025001,-75.5,0.0,top
R14,97.9,-82.4,0.0,top
R15,101.08,-82.6,180.0,top
R16,92.1,-74.9025,90.0,top
R17,93.2,-74.9025,90.0,top
R18,85.5,-74.9025,90.0,top
R19,86.6,-74.9025,90.0,top
R2,91.23,-90.7,180.0,top
R20,87.65,-74.9025,90.0,top
R21,89.95,-74.9025,90.0,top
R22,71.4525,-70.2225,270.0,top
R3,103.24,-90.377594,0.0,top
R4,104.66,-90.677594,270.0,top
R5,102.91,-91.622594,270.0,top
R6,103.71,-91.622594,270.0,top
R7,98.36,-94.782594,90.0,top
R8,103.255,-89.577594,180.0,top
R9,99.005,-95.927594,180.0,top
SW1,75.6975,-66.2775,270.0,top
SW2,71.4675,-66.2775,270.0,top
U1,99.4,-89.477594,0.0,top
U2,69.317731,-90.989376,315.0,top
U3,78.95,-87.3,225.0,top
U4,82.55,-77.32,270.0,top
U5,106.000001,-75.2,90.0,top
U6,101.05,-80.35,90.0,top
USB1,89.45,-94.3675,0.0,top
X1,72.721142,-80.526777,225.0,top
X2,75.1,-76.8,180.0,top
